Leitura;Leitura_filtrada;Escrita;ModoOperacao;ValorDesejado;CicloInicio;CicloFim
2.593657;2.593657;5.000000;0;0.000000;17453756484;17453756511
2.604181;2.604181;5.000000;0;0.000000;17454256489;17454256516
2.594973;2.594973;5.000000;0;0.000000;17454756498;17454756529
2.593657;2.593657;5.000000;0;0.000000;17455256434;17455256460
2.595959;2.595959;5.000000;0;0.000000;17455756516;17455756546
2.597933;2.597933;5.000000;0;0.000000;17456256531;17456256557
2.613718;2.613718;5.000000;0;0.000000;17456756541;17456756568
2.595302;2.595302;5.000000;0;0.000000;17457256547;17457256573
2.608785;2.608785;5.000000;0;0.000000;17457756550;17457756577
2.593657;2.593657;5.000000;0;0.000000;17458256563;17458256590
2.601221;2.601221;5.000000;0;0.000000;17458756557;17458756583
2.596946;2.596946;5.000000;0;0.000000;17459256587;17459256614
2.608785;2.608785;5.000000;0;0.000000;17459756592;17459756618
2.599577;2.599577;5.000000;0;0.000000;17460256518;17460256547
2.603194;2.603194;5.000000;0;0.000000;17460756583;17460756610
2.589711;2.589711;5.000000;0;0.000000;17461256626;17461256653
2.580174;2.580174;5.000000;0;0.000000;17461756596;17461756623
2.574255;2.574255;5.000000;0;0.000000;17462256629;17462256655
2.576228;2.576228;5.000000;0;0.000000;17462756563;17462756590
2.586094;2.586094;5.000000;0;0.000000;17463256648;17463256674
2.566034;2.566034;5.000000;0;0.000000;17463756606;17463756631
2.571295;2.571295;5.000000;0;0.000000;17464256665;17464256691
2.657126;2.576557;5.000000;0;0.000000;17464756648;17464756674
2.611087;2.611087;5.000000;0;0.000000;17465256695;17465256722
2.582476;2.582476;5.000000;0;0.000000;17465756690;17465756717
2.604510;2.604510;5.000000;0;0.000000;17466256699;17466256726
2.690669;2.690669;5.000000;0;0.000000;17466756724;17466756751
2.545974;2.712702;5.000000;0;0.000000;17467256764;17467256792
2.690669;2.690669;5.000000;0;0.000000;17467756712;17467756738
2.529860;2.529860;5.000000;0;0.000000;17468256671;17468256718
2.616348;2.616348;5.000000;0;0.000000;17468756720;17468756746
2.512759;2.512759;5.000000;0;0.000000;17469256739;17469256805
